Index	Label
0	8
1	9
2	4
3	7
4	8
5	6
6	0
7	9
8	5
9	3
10	6
11	0
12	2
13	3
14	0
15	6
16	7
17	2
18	5
19	4
20	6
21	3
22	0
23	0
24	9
25	2
26	2
27	9
28	2
29	1
30	5
31	7
32	0
33	5
34	5
35	3
36	8
37	0
38	5
39	3
40	1
41	3
42	6
43	1
44	0
45	2
46	1
47	8
48	3
49	1
50	3
51	2
52	1
53	3
54	8
55	8
56	6
57	2
58	5
59	5
60	7
61	3
62	1
63	9
64	9
65	9
66	5
67	2
68	0
69	8
70	5
71	8
72	6
73	1
74	0
75	0
76	8
77	4
78	8
79	7
80	1
81	9
82	1
83	6
84	5
85	9
86	9
87	9
88	9
89	1
90	4
91	0
92	7
93	1
94	8
95	6
96	9
97	0
98	6
99	1
100	1
101	8
102	6
103	1
104	0
105	2
106	2
107	3
108	4
109	2
110	5
111	6
112	5
113	4
114	1
115	7
116	2
117	8
118	1
119	5
120	4
121	1
122	7
123	7
124	5
125	3
126	3
127	5
128	4
129	7
130	1
131	3
132	8
133	9
134	3
135	4
136	8
137	7
138	8
139	7
140	3
141	1
142	0
143	6
144	9
145	7
146	1
147	4
148	5
149	6
150	1
151	3
152	0
153	2
154	2
155	4
156	5
157	2
158	0
159	6
160	3
161	5
162	5
163	4
164	3
165	9
166	8
167	3
168	3
169	1
170	1
171	5
172	2
173	8
174	0
175	3
176	8
177	6
178	3
179	5
180	9
181	6
182	4
183	0
184	0
185	1
186	3
187	9
188	2
189	9
190	5
191	0
192	8
193	9
194	5
195	4
196	7
197	7
198	6
199	5
200	5
201	9
202	7
203	0
204	6
205	7
206	2
207	3
208	3
209	6
210	7
211	5
212	1
213	6
214	7
215	0
216	2
217	1
218	6
219	6
220	9
221	4
222	7
223	7
224	2
225	0
226	9
227	1
228	9
229	7
230	6
231	1
232	8
233	2
234	0
235	2
236	6
237	5
238	2
239	6
240	7
241	9
242	4
243	5
244	6
245	2
246	7
247	2
248	2
249	6
250	2
251	4
252	7
253	7
254	8
255	4
256	0
257	4
258	6
259	9
260	1
261	7
262	8
263	1
264	9
265	4
266	0
267	2
268	8
269	1
270	3
271	4
272	5
273	0
274	0
275	1
276	0
277	6
278	4
279	8
280	2
281	0
282	4
283	9
284	5
285	4
286	1
287	7
288	5
289	1
290	8
291	4
292	0
293	3
294	4
295	9
296	6
297	8
298	6
299	4
300	7
301	7
302	6
303	7
304	2
305	5
306	7
307	8
308	8
309	8
310	2
311	1
312	0
313	3
314	4
315	4
316	2
317	1
318	1
319	8
320	7
321	4
322	1
323	6
324	3
325	3
326	3
327	5
328	8
329	9
330	6
331	1
332	7
333	8
334	8
335	5
336	6
337	7
338	9
339	3
340	0
341	0
342	5
343	7
344	7
345	6
346	6
347	6
348	0
349	8
350	2
351	0
352	2
353	4
354	7
355	8
356	7
357	3
358	3
359	9
360	7
361	6
362	4
363	1
364	2
365	5
366	9
367	2
368	5
369	2
370	6
371	9
372	5
373	3
374	1
375	3
376	7
377	4
378	0
379	9
380	3
381	7
382	5
383	8
384	2
385	1
386	4
387	2
388	7
389	1
390	3
391	1
392	4
393	2
394	3
395	2
396	4
397	4
398	1
399	1
400	5
401	0
402	2
403	2
404	0
405	5
406	3
407	5
408	7
409	6
410	9
411	9
412	8
413	6
414	8
415	9
416	8
417	4
418	4
419	3
420	4
421	1
422	5
423	9
424	5
425	2
426	9
427	1
428	4
429	5
430	5
431	5
432	3
433	6
434	8
435	3
436	2
437	1
438	6
439	0
440	5
441	5
442	2
443	4
444	1
445	2
446	9
447	8
448	8
449	8
450	7
451	7
452	2
453	3
454	1
455	7
456	1
457	5
458	9
459	0
460	8
461	6
462	3
463	5
464	4
465	2
466	2
467	3
468	0
469	5
470	1
471	5
472	4
473	0
474	0
475	9
476	9
477	1
478	0
479	0
480	4
481	8
482	4
483	4
484	7
485	6
486	8
487	8
488	0
489	8
490	6
491	5
492	7
493	1
494	4
495	7
496	0
497	9
498	5
499	5
